epoch,benign_indices,malicious_indices
0,"0;1;3;4;5;6;7","2;8;9"
1,"0;4;5;6;7;8;9","1;2;3"
2,"1;2;4;5;6;7;8;9","0;3"
3,"0;5;6;8;9","1;2;3;4;7"
4,"2;5;6;8;9","0;1;3;4;7"
5,"2;3;4;5;6;7;8;9","0;1"
6,"2;6;7;8;9","0;1;3;4;5"
7,"5;6;7;8;9","0;1;2;3;4"
8,"1;3;4;5;6;7;8;9","0;2"
9,"6;8;9","0;1;2;3;4;5;7"
10,"1;6;7;8;9","0;2;3;4;5"
11,"3;6;7;8;9","0;1;2;4;5"
12,"0;1;3;4;6;7;8;9","2;5"
13,"6;8;9","0;1;2;3;4;5;7"
14,"3;4;6;7;8;9","0;1;2;5"
15,"3;4;6;7;8;9","0;1;2;5"
16,"0;3;4;6;8;9","1;2;5;7"
17,"0;3;4;6;8;9","1;2;5;7"
18,"3;4;5;6;7;8;9","0;1;2"
19,"1;4;5;6;7;8;9","0;2;3"
20,"1;2;3;6;7;8;9","0;4;5"
21,"3;4;5;6;7;8;9","0;1;2"
22,"1;3;4;6;7;8;9","0;2;5"
23,"3;4;6;7;8;9","0;1;2;5"
24,"0;3;4;6;7;8;9","1;2;5"
25,"3;4;5;6;7;8;9","0;1;2"
26,"0;3;4;6;7;8;9","1;2;5"
27,"0;1;3;4;6;7;8;9","2;5"
28,"6;7;8;9","0;1;2;3;4;5"
29,"3;6;7;8;9","0;1;2;4;5"
30,"0;1;3;4;6;7;8;9","2;5"
31,"6;8;9","0;1;2;3;4;5;7"
32,"0;1;3;4;6;7;8;9","2;5"
33,"3;4;6;7;8;9","0;1;2;5"
34,"3;4;6;7;8;9","0;1;2;5"
35,"6;8;9","0;1;2;3;4;5;7"
36,"3;6;8;9","0;1;2;4;5;7"
37,"0;3;5;6;7;8;9","1;2;4"
38,"0;3;4;5;6;7;8;9","1;2"
39,"3;6;7;8;9","0;1;2;4;5"
40,"0;2;3;6;7;8;9","1;4;5"
41,"0;3;4;6;7;8;9","1;2;5"
42,"2;3;4;5;6;7;8;9","0;1"
43,"2;3;6;7;8;9","0;1;4;5"
44,"6;8;9","0;1;2;3;4;5;7"
45,"2;3;6;7;8;9","0;1;4;5"
46,"1;2;3;4;6;7;8;9","0;5"
47,"0;2;3;4;6;7;8;9","1;5"
48,"3;4;6;7;8;9","0;1;2;5"
49,"2;3;4;5;6;7;8;9","0;1"
50,"3;6;7;8;9","0;1;2;4;5"
51,"0;6;7;8;9","1;2;3;4;5"
52,"0;1;2;3;6;7;8;9","4;5"
53,"0;3;6;7;8;9","1;2;4;5"
54,"0;1;3;4;6;7;8;9","2;5"
55,"2;3;4;6;7;8;9","0;1;5"
56,"0;1;3;6;7;8;9","2;4;5"
57,"1;2;3;4;6;7;8;9","0;5"
58,"0;2;3;6;7;8;9","1;4;5"
59,"0;2;3;4;6;7;8;9","1;5"
60,"0;3;4;6;7;8;9","1;2;5"
61,"0;2;3;4;6;7;8;9","1;5"
62,"1;3;4;5;6;7;8;9","0;2"
63,"0;1;2;3;6;7;8;9","4;5"
64,"6;7;8;9","0;1;2;3;4;5"
65,"0;6;7;8;9","1;2;3;4;5"
66,"0;2;3;4;6;7;8;9","1;5"
67,"3;6;7;8;9","0;1;2;4;5"
68,"0;1;6;8;9","2;3;4;5;7"
69,"0;3;4;6;7;8;9","1;2;5"
70,"0;3;4;6;7;8;9","1;2;5"
71,"1;2;6;7;8;9","0;3;4;5"
72,"0;6;7;8;9","1;2;3;4;5"
73,"1;6;7;8;9","0;2;3;4;5"
74,"0;4;6;7;8;9","1;2;3;5"
75,"2;3;6;7;8;9","0;1;4;5"
76,"0;1;6;7;8;9","2;3;4;5"
77,"6;7;8;9","0;1;2;3;4;5"
78,"1;3;4;6;7;8;9","0;2;5"
79,"1;2;3;4;6;7;8;9","0;5"
80,"2;3;4;6;7;8;9","0;1;5"
81,"6;7;8;9","0;1;2;3;4;5"
82,"2;3;4;5;6;7;8;9","0;1"
83,"6;7;8;9","0;1;2;3;4;5"
84,"1;2;6;7;8;9","0;3;4;5"
85,"0;6;7;8;9","1;2;3;4;5"
86,"0;1;3;6;7;8;9","2;4;5"
87,"0;1;2;3;6;7;8;9","4;5"
88,"0;3;4;6;7;8;9","1;2;5"
89,"2;3;6;7;8;9","0;1;4;5"
90,"2;3;4;6;7;8;9","0;1;5"
91,"2;3;4;6;7;8;9","0;1;5"
92,"2;4;5;6;7;8;9","0;1;3"
93,"1;2;6;7;8;9","0;3;4;5"
94,"2;3;5;6;7;8;9","0;1;4"
95,"3;5;6;7;8;9","0;1;2;4"
96,"0;1;3;5;6;7;8;9","2;4"
97,"1;2;6;7;8;9","0;3;4;5"
98,"1;2;3;6;7;8;9","0;4;5"
99,"1;2;3;4;6;7;8;9","0;5"
