epoch,benign_indices,malicious_indices
0,"0;1;3;4;5;6;7","2;8;9"
1,"0;4;5;6;7;8;9","1;2;3"
2,"0;4;6;8","1;2;3;5;7;9"
3,"0;3;4;5;6;8;9","1;2;7"
4,"0;4;6;8","1;2;3;5;7;9"
5,"0;3;4;6;8","1;2;5;7;9"
6,"0;3;4;5;6;8","1;2;7;9"
7,"3;4;5;6;8","0;1;2;7;9"
8,"3;4;5;6;7;8","0;1;2;9"
9,"1;3;4;5;6;7;8","0;2;9"
10,"1;2;3;4;5;6;7;8","0;9"
11,"3;4;5;6;8","0;1;2;7;9"
12,"3;4;6;7;8","0;1;2;5;9"
13,"3;4;5;6;7;8;9","0;1;2"
14,"3;4;5;6;7;8;9","0;1;2"
15,"3;4;5;6;7;9","0;1;2;8"
16,"0;3;4;5;6;7;8;9","1;2"
17,"0;3;4;5;6;8;9","1;2;7"
18,"0;3;4;5;6;7;8;9","1;2"
19,"3;4;5;6;7;8;9","0;1;2"
20,"4;5;6;8;9","0;1;2;3;7"
21,"0;1;4;5;6;8;9","2;3;7"
22,"2;3;4;5;6;7;8;9","0;1"
23,"2;3;4;5;6;7;8;9","0;1"
24,"3;4;5;6;7;8;9","0;1;2"
25,"3;4;6;7;8;9","0;1;2;5"
26,"0;3;4;6;7;8;9","1;2;5"
27,"3;4;6;7;8;9","0;1;2;5"
28,"3;4;6;7;8;9","0;1;2;5"
29,"3;4;5;6;7;8;9","0;1;2"
30,"3;4;5;6;7;8;9","0;1;2"
31,"0;1;4;6;7;8;9","2;3;5"
32,"0;4;6;7;8;9","1;2;3;5"
33,"0;1;3;4;6;7;8;9","2;5"
34,"0;1;3;4;6;7;8;9","2;5"
35,"6;7;8;9","0;1;2;3;4;5"
36,"3;4;5;6;7;8;9","0;1;2"
37,"3;4;5;6;7;8;9","0;1;2"
38,"1;2;3;4;6;7;8;9","0;5"
39,"1;3;4;5;6;7;8;9","0;2"
40,"0;3;4;6;7;8;9","1;2;5"
41,"3;4;5;6;7;8;9","0;1;2"
42,"2;3;4;5;6;7;8;9","0;1"
43,"2;3;4;6;7;8;9","0;1;5"
44,"1;3;4;5;6;7;8;9","0;2"
45,"3;4;6;7;8;9","0;1;2;5"
46,"0;3;4;5;6;7;8;9","1;2"
47,"0;3;4;5;6;7;8;9","1;2"
48,"6;7;8;9","0;1;2;3;4;5"
49,"3;4;5;6;7;8;9","0;1;2"
50,"6;7;8;9","0;1;2;3;4;5"
51,"3;4;5;6;7;8;9","0;1;2"
52,"3;4;5;6;7;8;9","0;1;2"
53,"0;2;3;4;6;7;8;9","1;5"
54,"3;4;6;7;8;9","0;1;2;5"
55,"3;4;6;7;8;9","0;1;2;5"
56,"2;5;6;7;8;9","0;1;3;4"
57,"2;3;4;6;7;8;9","0;1;5"
58,"3;4;6;7;8;9","0;1;2;5"
59,"6;7;8;9","0;1;2;3;4;5"
60,"1;3;6;7;8;9","0;2;4;5"
61,"3;4;6;7;8;9","0;1;2;5"
62,"2;3;4;5;6;7;8;9","0;1"
63,"1;3;4;5;6;7;8;9","0;2"
64,"1;2;3;4;6;7;8;9","0;5"
65,"0;1;3;4;6;7;8;9","2;5"
66,"3;4;6;7;8;9","0;1;2;5"
67,"3;6;7;8;9","0;1;2;4;5"
68,"1;4;6;7;8;9","0;2;3;5"
69,"1;3;4;6;7;8;9","0;2;5"
70,"1;2;3;4;6;7;8;9","0;5"
71,"1;2;3;5;6;7;8;9","0;4"
72,"6;8;9","0;1;2;3;4;5;7"
73,"0;2;3;4;6;7;8;9","1;5"
74,"6;7;8;9","0;1;2;3;4;5"
75,"1;3;4;6;7;8;9","0;2;5"
76,"1;3;4;6;7;8;9","0;2;5"
77,"4;6;7;8;9","0;1;2;3;5"
78,"1;2;3;4;6;7;8;9","0;5"
79,"2;3;4;5;6;7;8;9","0;1"
80,"1;2;3;4;6;7;8;9","0;5"
81,"1;3;4;5;6;7;8;9","0;2"
82,"4;5;6;7;8;9","0;1;2;3"
83,"3;6;7;8;9","0;1;2;4;5"
84,"0;3;4;6;7;8;9","1;2;5"
85,"2;3;4;6;7;8;9","0;1;5"
86,"2;3;4;5;6;7;8;9","0;1"
87,"0;4;6;7;8;9","1;2;3;5"
88,"0;3;4;5;6;7;8;9","1;2"
89,"4;5;6;7;8;9","0;1;2;3"
90,"0;2;3;5;6;7;8;9","1;4"
91,"3;4;6;7;8;9","0;1;2;5"
92,"2;3;4;6;7;8;9","0;1;5"
93,"3;4;6;7;8;9","0;1;2;5"
94,"6;7;8;9","0;1;2;3;4;5"
95,"3;4;6;7;8;9","0;1;2;5"
96,"3;4;6;7;8;9","0;1;2;5"
97,"6;7;8;9","0;1;2;3;4;5"
98,"7;8;9","0;1;2;3;4;5;6"
99,"0;3;4;6;7;8;9","1;2;5"
