epoch,benign_indices,malicious_indices
0,"3;4;6;7;8","0;1;2;5;9"
1,"0;3;4;6;7;8;9","1;2;5"
2,"1;2;3;4;5;6;8;9","0;7"
3,"2;3;4;5;6;8;9","0;1;7"
4,"2;3;4;5;8;9","0;1;6;7"
5,"2;3;4;5;6;8;9","0;1;7"
6,"0;2;3;4;6;8;9","1;5;7"
7,"0;2;3;4;5;6;8;9","1;7"
8,"2;6;8","0;1;3;4;5;7;9"
9,"1;2;3;5;6;8;9","0;4;7"
10,"3;6;8","0;1;2;4;5;7;9"
11,"2;3;4;6;8;9","0;1;5;7"
12,"1;2;3;4;6;7;8;9","0;5"
13,"2;3;4;5;6;7;8;9","0;1"
14,"3;4;6;8;9","0;1;2;5;7"
15,"1;2;3;4;5;6;8;9","0;7"
16,"0;2;3;4;5;6;8;9","1;7"
17,"2;3;4;5;6;8;9","0;1;7"
18,"2;3;4;5;6;8;9","0;1;7"
19,"3;6;8;9","0;1;2;4;5;7"
20,"0;2;3;4;6;7;8;9","1;5"
21,"2;3;4;5;6;8;9","0;1;7"
22,"2;3;5;6;8;9","0;1;4;7"
23,"1;2;3;4;5;6;8;9","0;7"
24,"3;6;8;9","0;1;2;4;5;7"
25,"0;2;3;4;6;7;8;9","1;5"
26,"2;3;4;5;6;7;8;9","0;1"
27,"0;2;6;7;8;9","1;3;4;5"
28,"0;2;3;4;6;8;9","1;5;7"
29,"0;2;3;4;6;8;9","1;5;7"
30,"0;2;3;4;5;6;8;9","1;7"
31,"2;3;4;6;7;8;9","0;1;5"
32,"2;3;4;6;7;8;9","0;1;5"
33,"1;2;3;4;6;7;8;9","0;5"
34,"1;2;3;4;6;7;8;9","0;5"
35,"0;2;3;4;6;7;8;9","1;5"
36,"0;2;3;4;6;7;8;9","1;5"
37,"0;1;3;6;7;8;9","2;4;5"
38,"4;6;7;8;9","0;1;2;3;5"
39,"3;4;6;7;8;9","0;1;2;5"
40,"6;7;9","0;1;2;3;4;5;8"
41,"2;3;4;6;7;8;9","0;1;5"
42,"3;6;7;8;9","0;1;2;4;5"
43,"0;2;3;4;6;7;8;9","1;5"
44,"0;3;4;6;7;8;9","1;2;5"
45,"2;3;4;5;6;7;8;9","0;1"
46,"2;3;4;5;6;7;8;9","0;1"
47,"0;2;3;5;6;7;8;9","1;4"
48,"3;4;6;7;8;9","0;1;2;5"
49,"1;3;6;7;8;9","0;2;4;5"
50,"1;3;6;7;8;9","0;2;4;5"
51,"2;4;6;7;8;9","0;1;3;5"
52,"2;3;6;7;8;9","0;1;4;5"
53,"5;7;8","0;1;2;3;4;6;9"
54,"3;4;5;6;7;8;9","0;1;2"
55,"1;3;4;5;6;7;8;9","0;2"
56,"3;6;7;8;9","0;1;2;4;5"
57,"1;3;4;5;6;7;8;9","0;2"
58,"2;3;4;5;6;7;8;9","0;1"
59,"1;2;3;4;6;7;8;9","0;5"
60,"3;6;7;8;9","0;1;2;4;5"
61,"2;3;4;5;6;7;8;9","0;1"
62,"2;3;4;5;6;7;8;9","0;1"
63,"1;4;6;7;8;9","0;2;3;5"
64,"2;3;5;6;7;8;9","0;1;4"
65,"3;4;5;6;7;8;9","0;1;2"
66,"4;6;7;8;9","0;1;2;3;5"
67,"0;3;4;6;7;8;9","1;2;5"
68,"0;2;3;4;6;7;8;9","1;5"
69,"2;3;5;6;7;8;9","0;1;4"
70,"1;2;3;4;6;7;8;9","0;5"
71,"0;3;6;7;8;9","1;2;4;5"
72,"3;6;7;8;9","0;1;2;4;5"
73,"2;4;5;6;7;8;9","0;1;3"
74,"0;3;5;6;7;8;9","1;2;4"
75,"3;4;6;7;8;9","0;1;2;5"
76,"1;2;3;4;6;7;8;9","0;5"
77,"1;6;7;8;9","0;2;3;4;5"
78,"1;3;4;6;7;8;9","0;2;5"
79,"0;3;4;6;7;8;9","1;2;5"
80,"0;1;3;4;6;7;8;9","2;5"
81,"0;1;3;4;6;7;8;9","2;5"
82,"2;3;4;5;6;7;8;9","0;1"
83,"2;3;4;6;7;8;9","0;1;5"
84,"1;3;4;6;7;8;9","0;2;5"
85,"1;2;3;4;6;7;8;9","0;5"
86,"1;2;3;6;7;8;9","0;4;5"
87,"3;6;7;8;9","0;1;2;4;5"
88,"3;4;6;7;8;9","0;1;2;5"
89,"1;3;4;5;6;7;8;9","0;2"
90,"0;3;4;6;7;8;9","1;2;5"
91,"0;2;3;4;6;7;8;9","1;5"
92,"1;3;4;5;6;7;8;9","0;2"
93,"2;3;4;6;7;8;9","0;1;5"
94,"2;3;5;6;7;8;9","0;1;4"
95,"1;3;4;5;6;7;8;9","0;2"
96,"0;2;3;4;6;7;8;9","1;5"
97,"3;4;6;7;8;9","0;1;2;5"
98,"3;4;5;6;7;8;9","0;1;2"
99,"1;4;6;7;8;9","0;2;3;5"
