round,x_type,slice,metric,benign,malicious,delta
0,I,head,V_all,0.0005443831448376711,0.0009777614468475804,0.00043337830200990927
0,I,head,V_loo,0.0006720779804579381,0.0012071130622643977,0.0005350350818064596
0,I,head,cos_all,0.6445143648556301,0.6950098872184753,0.05049552236284527
0,I,head,cos_loo,0.5558324754238129,0.5751810769240061,0.01934860150019324
0,I,head,norm,1.3090007560593742,1.7564330299695332,0.44743227391015905
0,I,last_block,V_all,1.9600030652457334e-06,2.7393924142415926e-06,7.793893489958592e-07
0,I,last_block,V_loo,2.4197567134771295e-06,3.3819660908799656e-06,9.62209377402836e-07
0,I,last_block,cos_all,0.7060026696750096,0.710191031297048,0.004188361622038395
0,I,last_block,cos_loo,0.625597038439342,0.6203921834627787,-0.005204854976563311
0,I,last_block,norm,0.270379370876721,0.29513566195964813,0.02475629108292715
0,g,head,V_all,0.0012660445479143942,0.0011176163485894601,-0.0001484281993249341
0,g,head,V_loo,0.001563017921788352,0.0013797732923800747,-0.00018324462940827718
0,g,head,cos_all,0.5829450232642037,0.5152729749679565,-0.06767204829624718
0,g,head,cos_loo,0.4448143626962389,0.38345715403556824,-0.06135720866067068
0,g,head,norm,2.216736844607762,1.9641685485839844,-0.2525682960237776
0,g,last_block,V_all,3.9491411631128616e-05,3.233104204506768e-05,-7.160369586060933e-06
0,g,last_block,V_loo,4.875482877001299e-05,3.991486664745025e-05,-8.83996212256274e-06
0,g,last_block,cos_all,0.6358994160379682,0.5861141085624695,-0.0497853074754987
0,g,last_block,cos_loo,0.5210012282644,0.4818714161713918,-0.0391298120930082
0,g,last_block,norm,1.1970007249287196,1.0198434591293335,-0.17715726579938607
0,gI,head,V_all,0.18100632620709284,0.516345202922821,0.3353388767157282
0,gI,head,V_loo,0.2234646018062319,0.637463221947352,0.41399862014112015
0,gI,head,cos_all,0.5505118710654122,0.7424396077791849,0.19192773671377272
0,gI,head,cos_loo,0.48754048134599415,0.6620257894198099,0.1744853080738158
0,gI,head,norm,22.43345969063895,37.08345985412598,14.650000163487025
0,gI,last_block,V_all,1.3661960305658535e-05,1.1616037833543183e-05,-2.045922472115352e-06
0,gI,last_block,V_loo,1.6866617183300798e-05,1.434078815994629e-05,-2.5258290233545074e-06
0,gI,last_block,cos_all,0.6356695890426636,0.6186567743619283,-0.017012814680735233
0,gI,last_block,cos_loo,0.5253473903451648,0.5175591111183167,-0.007788279226848105
0,gI,last_block,norm,0.6844178863934108,0.6106044749418894,-0.07381341145152143
1,I,head,V_all,0.0005052736794043865,0.0003379936970304698,-0.0001672799823739167
1,I,head,V_loo,0.0006237946529706408,0.0004172761449202274,-0.00020651850805041336
1,I,head,cos_all,0.6382135535989489,0.5890182753403982,-0.049195278258550745
1,I,head,cos_loo,0.5240198629243034,0.49895410736401874,-0.02506575556028462
1,I,head,norm,1.3587066871779305,0.9340055783589681,-0.4247011088189624
1,I,last_block,V_all,2.3461209041540443e-06,1.5503849605617386e-06,-7.957359435923057e-07
1,I,last_block,V_loo,2.8964456890077727e-06,1.914055530960468e-06,-9.823901580473049e-07
1,I,last_block,cos_all,0.7605542285101754,0.7304831345876058,-0.03007109392256957
1,I,last_block,cos_loo,0.69821184022086,0.6698827743530273,-0.02832906586783268
1,I,last_block,norm,0.30598282388278414,0.2502289265394211,-0.05575389734336306
1,g,head,V_all,0.000623376590998045,0.0005630585947073996,-6.0317996290645414e-05
