phase,slice,metric,mean_delta,pos_ratio
前10轮,head,I_mean,-0.006225433816490251,0.1
前10轮,head,I_sparsity,0.0070316848300752246,0.9
前10轮,head,norm_g,20.946104540143693,0.9
前10轮,head,norm_gI,-1.7512073894341789,0.2
前10轮,head,shrink_ratio,-0.03215628902124848,0.1
前10轮,last_block,I_mean,-0.0003537415932875038,0.2
前10轮,last_block,I_sparsity,4.595518112182617e-06,0.2
前10轮,last_block,norm_g,19.864829090663363,0.9
前10轮,last_block,norm_gI,-0.03076693578844978,0.3
前10轮,last_block,shrink_ratio,-0.0012867893533110176,0.3
后50轮,head,I_mean,-0.01603324814771657,0.0
后50轮,head,I_sparsity,0.05349305294808888,1.0
后50轮,head,norm_g,-23.356665386018303,0.0
后50轮,head,norm_gI,-5.7216098512070515,0.0
后50轮,head,shrink_ratio,-0.054682449581009436,0.0
后50轮,last_block,I_mean,-0.0006271909964492634,0.18
后50轮,last_block,I_sparsity,9.781905582973316e-05,0.9
后50轮,last_block,norm_g,-17.424174684797013,0.0
后50轮,last_block,norm_gI,-0.28112545361121494,0.02
后50轮,last_block,shrink_ratio,-0.0020588564385716447,0.12
全部,head,I_mean,-0.0132943183637967,0.01
全部,head,I_sparsity,0.037606077988942464,0.99
全部,head,norm_g,-11.798738494146438,0.24
全部,head,norm_gI,-4.953905309828974,0.02
全部,head,shrink_ratio,-0.05139299909412135,0.01
全部,last_block,I_mean,-0.0005669843669498472,0.23
全部,last_block,I_sparsity,6.624119622366975e-05,0.77
全部,last_block,norm_g,-7.435264940715972,0.24
全部,last_block,norm_gI,-0.23167380617221908,0.05
全部,last_block,shrink_ratio,-0.0021692564528485365,0.13
