phase,slice,metric,mean_delta,pos_ratio
前10轮,head,V_all,0.01818233491642223,0.2
前10轮,head,score_cos_all,0.1721271972615449,0.9
前10轮,head,score_nmse,0.0009128499922344978,0.8
前10轮,head,score_unit_mse,0.00013395117102412595,0.9
前10轮,last_block,V_all,-9.763927439940918e-07,0.3
前10轮,last_block,score_cos_all,-0.09997319018556956,0.4
前10轮,last_block,score_nmse,-1.1503784690092063e-05,0.3
前10轮,last_block,score_unit_mse,-9.18870531071055e-06,0.4
后50轮,head,V_all,-0.017842368696860615,0.0
后50轮,head,score_cos_all,0.5444799944815515,1.0
后50轮,head,score_nmse,0.0049310135805068454,1.0
后50轮,head,score_unit_mse,0.0004237198560301858,1.0
后50轮,last_block,V_all,-1.2161027415394137e-05,0.02
后50轮,last_block,score_cos_all,0.1598295472350548,0.82
后50轮,last_block,score_nmse,5.918792874019281e-05,0.86
后50轮,last_block,score_unit_mse,1.4690220921779871e-05,0.82
全部,head,V_all,-0.012258418932823199,0.02
全部,head,score_cos_all,0.4936844116866233,0.99
全部,head,score_nmse,0.004012337566754468,0.98
全部,head,score_unit_mse,0.0003841902331727656,0.99
全部,last_block,V_all,-8.908444171885052e-06,0.05
全部,last_block,score_cos_all,0.12823864461793122,0.73
全部,last_block,score_nmse,5.139316579734376e-05,0.79
全部,last_block,score_unit_mse,1.1786645544859874e-05,0.73
